rec_id,SDK_Version,Start_LocationLatitude,Start_LocationLongitude,Start_LocationAltitude,Start_RadioBrand,Start_RadioCountry,Start_RadioNetworkType,Start_RadioNetworkGeneration,Start_RadioHRCellId,Start_RadioRNCId,Start_RadioeNodeBId,Start_RadioOperatorName,Start_RadioIsRoaming,DeviceManufacturer,DeviceName,OS,OSVersion,AverageValue,SIM_Country,SIM_Brand
32545.0,20181213163457,35.434155,139.32571,0.0,au,Japan,LTE,4G,19.0,,194884.0,KDDI,False,SHARP,SHV40,Android,7.1.2,0.0,Japan,
1393.0,20181213163457,35.885616,139.46619,73.4203,NTT docomo,Japan,LTE,4G,81.0,,192333.0,NTT DOCOMO,False,LGE,L-03K,Android,9,49.0,Japan,
153956.0,20170922173030,35.774273,139.54874,98.16522,NTT docomo,Japan,LTE,4G,67.0,,196217.0,NTT DOCOMO,False,Sony,SO-04J,Android,8.0.0,44.0,Japan,
74165.0,20190802193258.0,35.986202,139.85553,0.0,au,Japan,LTE,4G,0.0,,144389.0,KDDI,False,samsung,SCV37,Android,9,40.0,Japan,
101055.0,20181213163457,35.330612,139.84535,0.0,NTT docomo,Japan,LTE,4G,1.0,,147919.0,NTT DOCOMO,False,Sony,SO-02J,Android,7.0,49.0,Japan,
42081.0,20181213163457,35.857876,139.55746,0.0,NTT docomo,Japan,LTE,4G,82.0,,194092.0,NTT DOCOMO,False,samsung,SC-02H,Android,8.0.0,42.0,Japan,
178155.0,20190802193258.0,35.69214,139.83531,0.0,SoftBank,Japan,HSDPA,3G,63936.0,1136.0,,SoftBank,False,SHARP,S1,Android,8.1.0,82.0,Japan,
5600.0,20190802193258.0,35.424995,139.53293,0.0,SoftBank,Japan,LTE,4G,73.0,,665042.0,SoftBank,False,SHARP,702SH,Android,8.0.0,38.0,Japan,
45683.0,20181213163457,35.666046,139.77727,41.85681,NTT docomo,Japan,LTE,4G,3.0,,181011.0,NTT DOCOMO,False,SHARP,SH-M05,Android,7.1.2,47.0,Japan,
193695.0,20181213163457,35.905502,139.49193,60.676086,NTT docomo,Japan,LTE,4G,0.0,,173317.0,NTT DOCOMO,False,SHARP,SH-03J,Android,9,45.0,Japan,
330768.0,20181213163457,35.804066,139.7781,40.611206,NTT docomo,Japan,LTE,4G,82.0,,133493.0,NTT DOCOMO,False,Soh,SO-0rM,Android,9,0.0,Japan,
109927.0,20181030095031,35.499256,139.56494,0.0,NTT docomo,Japan,LTE,4G,15.0,,131110.0,NTT DOCOMO,False,samsung,SC-02J,Android,9,0.0,Japan,
43945.0,20181213163457,35.72973,140.09909,0.0,NTT docomo,Japan,LTE,4G,5.0,,188041.0,NTT DOCOMO,False,KYOCERA,KC-S301AE,Android,4.4.4,42.0,Japan,
95253.0,20190802193258,35.67491,139.66093,77.299995,au,Japan,LTE,4G,14.0,,150187.0,KDDI,False,Sony,SOV36,Android,9,38.0,Japan,
55438.0,20180105115808.0,35.702335,139.66829,0.0,NTT docomo,Japan,LTE,4G,64.0,,181763.0,NTT DOCOMO,False,Sony,SO-04H,Android,6.0.1,42.0,Japan,
109926.0,20181030095031,35.49926,139.56493,0.0,NTT docomo,Japan,LTE,4G,69.0,,146340.0,NTT DOCOMO,False,samsung,SC-02J,Android,9,0.0,Japan,
26384.0,20181213163457.0,35.94066,139.31758,0.0,au,Japan,LTE,4G,,,,KDDI,False,KYOCERA,KYY24,Android,4.4.2,48.0,Japan,
158836.0,20190802193258,35.794376,139.8489,41.0,au,Japan,LTE,4G,1.0,,1019035.0,KDDI,False,KYOCERA,KYV42,Android,7.1.1,42.0,Japan,
253005.0,20181030095031,35.498154,140.125,62.406067,SoftVank,Japan,LTs,4G,73.0,,644879.0,SoftBank,False,Sony,702SO,Andrpid,9,0.0,Japan,
190158.0,20190802193258.0,35.298626,139.601,45.899998,NTT docomo,Japan,LTE,4G,83.0,,192356.0,NTT DOCOMO,False,Sony,SO-02K,Android,9,0.0,Japan,
14106.0,20180920140351.0,35.657253,139.5721,0.0,au,Japan,LTE,4G,3.0,,682649.0,KDDI,False,KYOCERA,KYV38,Android,6.0.1,48.0,Japan,
67373.0,20190802193258,35.5027,139.67833,0.0,au,Japan,LTE,4G,0.0,,142985.0,KDDI,False,Sony,SOV35,Android,8.0.0,61.0,Japan,
68486.0,20181213163457.0,35.372574,139.44516,0.0,NTT docomo,Japan,LTE,4G,2.0,,144701.0,NTT DOCOMO,False,samsung,SC-02H,Android,8.0.0,0.0,Japan,
123809.0,20190802193258,35.86078,139.79419,0.0,NTT docomo,Japan,LTE,4G,65.0,,173290.0,NTT DOCOMO,False,Sony,SO-04H,Android,7.0,6.0,Japan,
181434.0,20181213163457,35.779377,139.8356,37.0,NTT docomo,Japan,LTE,4G,81.0,,189794.0,NTT DOCOMO,False,Sony,SO-03J,Android,8.0.0,7.0,Japan,
134273.0,20181213163457,35.62764,139.68544,82.54828,NTT docomo,Japan,LTE,4G,66.0,,163809.0,NTT DOCOMO,False,SHARP,SH-03K,Android,9,33.0,Japan,
37082.0,20181213163457,35.753677,139.72815,0.0,NTT docomo,Japan,LTE,4G,83.0,,189760.0,NTT DOCOMO,False,SHARP,SH-01L,Android,9,235.0,Japan,
21913.0,20190802193258,35.623043,140.0997,0.0,NTT docomo,Japan,LTE,4G,18.0,,173836.0,NTT DOCOMO,False,Sony,SO-04J,Android,9,0.0,Japan,
50137.0,20180412115345,35.46711,139.46074,102.41664,NTT docomo,Japan,LTE,4G,67.0,,174398.0,NTT DOCOMO,False,Sony,SO-01J,Android,8.0.0,0.0,Japan,
43793.0,20190802193258.0,35.441624,139.66116,42.939453,SoftBank,Japan,LTE,4G,5.0,,99304.0,SoftBank,False,SHARP,605SH,Android,9,0.0,Japan,
162704.0,20181030095031,35.61433,139.3856,183.5,NTT docomo,Japan,LTE,4G,16.0,,192231.0,NTT DOCOMO,False,samsung,SC-02K,Android,9,0.0,Japan,
176417.0,20181030095031,35.690033,139.69916,0.0,au,Japan,LTE,4G,0.0,,987671.0,KDDI,False,Sony,SOV38,Android,8.0.0,46.0,Japan,
65209.0,20181030095031,35.697582,140.03433,55.6,au,Japan,LTE,4G,1.0,,139805.0,KDDI,False,samsung,SCV36,Android,8.0.0,56.0,Japan,
261819.0,20181213163457,35.64704,139.53099,0.0,au,Japan,KTl,4G,3.0,,682845.0,KDDI,False,SHARP,SH-L02,Android,7.0,0.0,Japan,
4296.0,20190802193258,35.44456,139.58797,85.299995,NTT docomo,Japan,LTE,4G,85.0,,164952.0,NTT DOCOMO,False,samsung,SC-04J,Android,8.0.0,19.0,Japan,
90704.0,20180813163841,35.422134,139.66289,45.8,SoftBank,Japan,LTE,4G,36.0,,665439.0,SoftBank,False,Sony,701SO,Android,9,0.0,Japan,
15664.0,20181030095031,35.756397,139.58055,63.154922,NTT docomo,Japan,LTE,4G,82.0,,183916.0,NTT DOCOMO,False,Sony,SO-03K,Android,9,20.0,Japan,
95991.0,20180412115345.0,35.893646,139.45691,88.9,au,Japan,LTE,4G,0.0,,1019186.0,KDDI,False,samsung,SCV36,Android,8.0.0,16.0,Japan,
155576.0,20181213163457.0,35.63816,139.67842,81.88873,NTT docomo,Japan,LTE,4G,1.0,,187449.0,NTT DOCOMO,False,SHARP,SH-M05,Android,7.1.2,0.0,Japan,
30495.0,20181213163457,35.849167,139.94774,0.0,au,Japan,LTE,4G,2.0,,132337.0,KDDI,False,SHARP,SH-L02,Android,7.0,44.0,Japan,
140694.0,20181213163457,35.523228,139.70996,0.0,NTT docomo,Japan,LTE,4G,5.0,,178350.0,NTT DOCOMO,False,SHARP,SH-01K,Android,7.1.2,84.0,Japan,
181169.0,20190802193258,35.795895,139.83685,35.699997,au,Japan,LTE,4G,3.0,,137783.0,KDDI,False,Sony,SOV36,Android,9,0.0,Japan,
78657.0,20181213163457,35.54723,139.51108,84.2,NTT docomo,Japan,LTE,4G,85.0,,178755.0,NTT DOCOMO,False,SHARP,SH-01K,Android,9,49.0,Japan,
57143.0,20181213163457,35.725292,139.58655,87.5335,NTT docomo,Japan,LTE,4G,66.0,,134466.0,NTT DOCOMO,False,Sony,SO-05K,Android,9,65.0,Japan,
356784.0,20190802193258,35.985474,139.75732,70.0,SoftBank,Japan,LTE,4,1.0,,99170.0,Y!mobile,False,SHARP,507SH,Android,7b1.q,56.0,Japan,
245344.0,20180920140351,35.873516,139.68411,0.0,NTT docomo,Japan,LTx,4G,3.0,,182976.0,NTT DOCOMO,False,SHARP,SH-a2J,Android,8.0.0,42.0,Japan,
56169.0,20190802193258.0,35.551758,139.51538,0.0,NTT docomo,Japan,LTE,4G,64.0,,193501.0,NTT DOCOMO,False,Sony,SO-03J,Android,7.1.1,0.0,Japan,
151290.0,20181213163457,35.765766,139.82945,0.0,NTT docomo,Japan,LTE,4G,83.0,,134430.0,NTT DOCOMO,False,FUJITSU,F-01F,Android,4.2.2,39.0,Japan,
135295.0,20170922173030,35.71215,139.94333,43.0,NTT docomo,Japan,LTE,4G,49.0,,164149.0,NTT DOCOMO,False,LGE,L-03K,Android,9,0.0,Japan,
103241.0,20170310154560,35.333546,139.52054,30.0,SoftBank,Japan,LTE,4G,74.0,,664460.0,Y!mobile,False,motorola,Nexus 6,Android,7.1.1,40.0,Japan,
149482.0,20181213163457.0,35.63125,139.53645,0.0,au,Japan,LTE,4G,1.0,,140842.0,KDDI,False,Sony,SOV34,Android,8.0.0,82.0,Japan,
367817.0,20170922173030.0,35.721138,139.90924,37.899998,au,Japan,LTE,4qy,3.0,,682150.0,,False,samsung,SCV38,Android,8.0.0,12.0,Japan,
184110.0,20190802193258.0,35.50774,140.121,31.0,NTT docomo,Japan,LTE,4G,82.0,,194365.0,NTT DOCOMO,False,FUJITSU,F-05J,Android,7.1.1,19.0,Japan,
36551.0,20181213163457.0,35.83714,139.98155,0.0,NTT docomo,Japan,LTE,4G,82.0,,194811.0,NTT DOCOMO,False,samsung,SC-04J,Android,8.0.0,29.0,Japan,
150977.0,20181030095031,35.333088,139.48196,66.22691,SoftBank,Japan,LTE,4G,23.0,,665307.0,SoftBank,False,Sony,701SO,Android,8.0.0,254.0,Japan,
151774.0,20190802193258,35.69063,139.80853,12.0,au,Japan,LTE,4G,4.0,,154771.0,KDDI,False,SHARP,SHV40,Android,8.0.0,52.0,Japan,
